Kanton	15-24-jaehrig	25-34-jaehrig	35-44-jaehrig	45-54-jaehrig	55-64-jaehrig	65-74-jaehrig	75+ -jaehrig	total
CH	936600	1056160	1192991	1217226	946647	700690	629004	7870134
ZH	144946	211778	224677	207198	157415	119111	104907	1373068
BE	113636	123811	141392	151356	126756	93806	90072	979802
LU	49574	51844	55619	58526	42629	31527	28870	377610
UR	4490	4265	4981	5331	4412	3255	3159	35422
SZ	17686	18784	23311	24345	17758	12043	9984	146730
OW	4678	4479	5297	5707	4305	2916	2576	35585
NW	4987	4978	6144	6909	5503	3788	2865	41024
GL	5047	4916	5122	6154	4935	3494	3377	38608
ZG	12331	14721	19006	18764	13670	9853	7351	113105
FR	36437	36342	43451	43034	31500	21567	17361	278493
SO	31172	31028	36499	42125	32535	23411	21854	255284
BS	18272	28820	26970	27716	22026	17609	20865	184950
BL	30466	31205	40281	43688	35976	28857	24639	274404
SH	9255	9426	10142	12287	9844	7542	7275	76356
AR	6963	5966	7270	8679	6839	4768	4576	53017
AI	2256	1940	2132	2312	1767	1317	1340	15688
SG	64603	64539	68133	73355	56212	41488	35566	478907
GR	23635	24584	27984	30368	25123	18476	16057	192621
AG	74009	81050	92330	99310	75783	52351	42586	611466
TG	33251	30507	36386	41168	30196	20438	17780	248444
TI	34344	38329	52511	51758	42453	35959	32265	333753
VD	90362	96467	110076	105849	80389	58139	53699	713281
VS	40062	40071	45178	48213	38800	29234	24112	312684
NE	21168	21505	25759	25027	20235	15156	15361	172085
GE	53969	67043	72764	67632	50619	38070	34324	457715
JU	9001	7762	9576	10415	8967	6515	6183	70032
