Infektionskrankheit	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Akutegastrointestinale_Infektionen	1086	745	958	1139	1801	2482	2231	1696	2117	2811	3499	3471	3614	3231	2467	3402	3712	4939	8283	11014	10900	8375	11984	11200	9999	9564	9564	9582	8459	9497	10047	9390	9249	7925	7470	7831	7213	7840	9951	9086	7853	9199	9842	8739
Typhus_Paratyphus	156	75	75	59	87	102	55	57	68	83	83	66	57	76	44	70	81	76	51	64	67	72	64	41	80	56	37	30	35	31	33	28	38	26	41	68	36	46	46	27	44	27	27	23
