Infektionskrankheit	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Meningokokkeninfektionen	139	148	142	107	113	86	92	76	68	87	80	93	87	107	93	94	131	78	123	120	121	143	106	120	104	105	99	103	121	166	178	168	114	87	63	69	66	68	60	72	52	74	46	51
Tuberkulose	1693	1490	1603	1541	1831	2091	1823	1648	1575	1447	1397	1389	1388	1293	1133	1178	1106	1012	1201	1104	1278	1134	987	930	924	830	765	747	750	772	629	611	658	623	589	566	518	473	520	556	548	580	486	530
