Infektionskrankheit	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Hepatitis_B	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	323	445	445	445	519	453	420	355	192	259	181	203	143	122	165	110	95	90	96	105	77	74	64	72	72	65
AIDS	...	...	...	...	...	...	...	...	...	...	2	3	5	14	43	120	207	309	463	596	612	600	720	689	699	626	533	373	288	288	226	226	223	226	221	196	160	175	161	151	162	127	93	90
